Name,color_wine,Price,ml,Rating,RatingNum,Country,ABV,img
El Coto Crianza (375ML half-bottle) 2018,Red Wine,8.99,375,0,0,Tempranillo from Rioja / Spain,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQri8JK6u5g2CHZTxfmbvj1p0R3aZw57oxhOAUVt-Jtf2lTWHwieQPi5c4Kjg&s
Excelsior Sauvignon Blanc 2022,White Wine,8.99,750,0,0,Sauvignon Blanc from Robertson / South Africa,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRSmdlTeZ8G96scp9mqdTQLZv6y7yoIhSGyy5LZ5DMbQ6BZFpSn5sQhZITTa8&s
Folonari Pinot Grigio 2021,White Wine,8.99,750,0,0,Pinot Gris /Grigio from Veneto / Italy,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzxTwYO0rFbsp1WQ6rrCTkrMOYyf4JMXBH57mqScWBbku7DDBHssJcW19MaA&s
Gazela Vinho Verde Rose,Pink and Rosé,8.99,750,3.6,187,Rosé from Vinho Verde / Portugal,9.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN_8v1amoZVY7n-qAlPymIJYdyDa4U-vbIueU1mqv_Pcq02I0lhg2clGFnVg&s
Honoro Vera Garnacha 2020,Red Wine,8.99,750,3.9,16,Grenache from Calatayud / Spain,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRU2InG_vCrC-CsD7MFXjQKdrfZFpiI-ru-tQBlvh_OjDzA1FshMQz8H6hzbw&s
Jam Jar Sweet Shiraz 2020,Red Wine,8.99,750,4,123,Syrah /Shiraz from South Africa,12.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlUQ6Z5tFblxMVNVWgsX7Da10x0z-h7sppzLLqi51x1scI9nTK4ysFvSFnOoU&s
La Playa Estate Dry Rose 2021,Pink and Rosé,8.99,750,0,0,Rosé from Colchagua Valley / Rapel Valley / Chile,12.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStskFEJ7HC4RIXzCqVDlfuP1eBo_U8W-WgWQtIFYW1VQXoedqiYE_u4VzLhg&s
La Playa Estate Sauvignon Blanc 2021,White Wine,8.99,750,3.8,28,Sauvignon Blanc from Curico Valley / Chile,12.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYSxn9XHJVzVpIPpwaKUBlNvcgNdhhoNXwQH2P2qOhPu3iaTQYwoXOkDwx3A&s
La Vieille Ferme Rose 2021,Pink and Rosé,8.99,750,3.6,32,Rosé from France,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4f_ZlUY0xVwJh5J2GPkskLkOLBSwhinuqYi7Prt6Jxb2BUtu3yNGnn-ElPw&s
La Vieille Ferme Rouge 2020,Red Wine,8.99,750,3.8,16,Rhone Red Blends from France,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAf8lzQMQkBkFyGIrqSssDK6Jor03IPermsbyTqH3Wlt2RwFWski_iF1BE1ss&s
La Vieille Ferme Blanc 2021,White Wine,8.99,750,4.4,11,Rhone White Blends from Vin de France / France,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQe7_nLRCnpAO1sYu9eo6ein0mPFLMWx0qlrdthDOMUZ09DPz3ejdovaH39mg&s
Palladio Bianco 2019,White Wine,8.99,750,0,0,Other White Blends from Italy,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtKesF9lbzMwW39jhQZmmA3u7tL06GpnSNGFdwTHedH7qKz3FjUiOcYjOp4g&s
Red Diamond Cabernet Sauvignon,Red Wine,8.99,750,3.9,22,Cabernet Sauvignon from California,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6x7Y2nh1LK9zvDedL7W_xcizt1mg0ZpDfSjLGfNzktnMTjcbXkblOZHy0vg&s
Two Vines Cabernet Sauvignon,Red Wine,8.99,750,3.7,130,Cabernet Sauvignon from Washington,14.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhtLy5EunmY2DSD7msIh38gQdRWoOYnse20cYaOhB5GZrs2GJ23Xfnw8BgLw&s
19 Crimes The Punishment Pinot Noir 2020,Red Wine,9.99,750,3.7,31,Pinot Noir from Australia,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqGIFdRpOo9P2f0KRVuJO51HdK0kz47mCpiacjT6mZk97z--WxZI0rV_BXsQ&s
19 Crimes Red Blend 2020,Red Wine,9.99,750,3.9,50,Other Red Blends from Australia,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqRS7T13lw110ocEs5Q1FE_uV4tKCGqvw4mDUi8BjXAbfi-QWk3Uj01Z17aps&s
